# index cotheta theta phi
2.1400e+02 6.8397e-01 6.2255e-01 3.8257e+00
2.1500e+02 2.6467e+00 4.1423e-01 2.0106e+00
2.1600e+02 3.3185e-01 1.1303e+00 3.6215e+00
2.1700e+02 -5.3667e-02 6.5676e-01 1.6737e+00
2.1800e+02 6.2653e-01 8.2169e-01 3.4162e+00
2.1900e+02 1.4159e-01 1.3745e+00 3.9790e+00
2.2000e+02 5.8495e-01 1.1035e+00 3.5987e+00
2.2100e+02 7.7448e-01 5.4455e-01 5.8784e+00
2.2200e+02 1.2639e+00 6.8906e-01 1.2091e+00
2.2300e+02 1.8004e+00 4.8302e-01 8.5584e-01
2.2400e+02 2.2655e+00 8.7561e-01 1.4610e+00
2.2500e+02 2.0372e+00 1.3090e+00 1.7346e+00
2.2600e+02 4.3524e-01 1.2481e+00 3.7126e+00
2.2700e+02 1.9081e+00 9.9627e-01 2.4519e+00
2.2800e+02 7.4481e-02 1.0717e+00 2.3978e+00
2.2900e+02 1.3548e+00 1.3099e+00 5.4240e-01
2.3000e+02 1.0682e+00 8.4504e-01 1.1600e+00
2.3100e+02 9.8392e-01 4.8395e-01 2.2838e+00
2.3200e+02 1.4511e+00 1.1650e+00 2.4052e+00
2.3300e+02 6.0559e-02 6.6241e-01 4.8830e+00
2.3400e+02 1.8193e+00 9.4851e-01 1.2008e+00
2.3500e+02 1.4952e+00 7.7510e-01 2.4714e+00
2.3600e+02 3.6117e+00 8.1240e-01 2.2493e+00
2.3700e+02 -2.7611e-01 6.7526e-01 5.9673e-01
2.3800e+02 1.6527e+00 9.3074e-01 1.9555e+00
2.3900e+02 7.1237e-01 7.7602e-01 3.1687e+00
2.4100e+02 -3.5004e-01 9.9865e-01 3.7814e+00
2.4200e+02 1.9578e+00 1.1634e+00 1.8124e+00
2.4300e+02 -2.1845e-01 5.1947e-01 2.3348e-01
2.4400e+02 1.1413e-01 9.5678e-01 2.5705e+00
2.4500e+02 1.1742e+00 3.4093e-01 2.9138e+00
2.4600e+02 1.8961e+00 1.1431e+00 2.0612e+00
2.4700e+02 1.0047e+00 8.9191e-01 2.2955e+00
2.4800e+02 -6.1159e-01 1.1548e+00 9.0137e-01
2.4900e+02 5.5647e-03 6.2651e-01 4.2977e+00
2.5000e+02 1.5199e+00 6.1325e-01 2.7972e+00
2.5100e+02 -1.4235e-01 1.0052e+00 2.0416e+00
2.5200e+02 2.4078e+00 9.8277e-01 2.3817e+00
2.5300e+02 2.2036e+00 1.0031e+00 1.6558e+00
2.5400e+02 1.4854e+00 1.0832e+00 1.6405e+00
